stars,name,text,date,city,longitude,latitude,categories
1,McDonald's,"Seriously cannot stand this McDonald's. They NEVER get my order right. Food almost always sucks! Service is sorry! The employees sure do show they hate their jobs in the way they perform at work! I used to work at McDonald's as a teen getting through high school, don't remember that McDonald's ever taking so long in a drive-thru or being bitter about the fact I worked there! Lol And to top it all off, this is the McDonald's I live right across the street from :( so I find myself here more often than not! ugh! Get it together people! You guys are terrible! I honestly don't have anything nice to say about this place... I usually wouldn't review a place just to talk mess, but I waited at the drive-thru for 15 minutes this morning to get two coffees!!! Standards back when I worked there was a minute or less for each car!",2014/12/29,Glendale,-112.2050201,33.5095967,"['Burgers', 'Fast Food', 'Restaurants']"
5,Tom Colicchio's Craftsteak,"Amazing food, truly excellent best lobster bisque, and the prime rib, probably the bedt Ive had!!  Great service, the only downside is the size of the portions, we wasted a lot of food, which is unfortunate...",2013/3/7,Las Vegas,-115.169751,36.102918,"['Steakhouses', 'Restaurants', 'Cheesesteaks', 'Food', 'American (New)', 'Desserts']"
5,Fishman Lobster Clubhouse Restaurant,"This was my second time here, and the seafood was just as awesome as I remembered! We got the King Crab & Lobster Dinner package. It comes with a soup, king crab cooked in 3 different ways (steamed, friend with dry garlic, and fried rice), HK style lobster (the lobster tower you see in all the photos), snow peas, and dessert. This package is meant for 4 people, and is $288 pre tax and tips. However, because all their king crabs were larger than the size that comes with this package (4.5lb), we had to pay additional for the extra weight. I think the amount of food that we got could probably have fed a party of 6. I love the fried lobster and crab legs here, both are super yummy! This restaurant is definitely worth a visit for any seafood lovers!

However, the restaurant does get very busy. So make sure to call ahead and make a reservation, esp if you plan on coming during the weekends! The tables in the restaurant are packed very tightly. The round table I was at was literally touching the table beside us. So don't come here if you are expecting a restaurant with a nice ambiance, or a place where you want to talk to your friends in private. Because the table beside you will definitely hear every word you are saying!",2015/11/24,Toronto,-79.30079543,43.82423358,"['Seafood', 'Restaurants', 'Chinese', 'Live/Raw Food']"
1,Bonjour Brioche,"Long story short.

Bunch of rude, heartless, and ignorant assholes run this place with no compassion for people especially people they feel do not belong or are suitable for their shitty establishment. 

My mother endured an extremely humiliating situation at Bonjour Brioche. She went in on a Saturday to wait for 45 mins with her cane, with nowhere to sit while she waited for her friend. A number of people who were waiting after her were seated before her, and she asked when she would get a seat until her friend arrived. She'd like to have a coffee while she waited. 

Basically was told, your friend's not here; tough shit no seat you can wait. She asked well what if my guest cancelled last minute and I would like to eat alone. Are you not going to serve me even if I sit and have something alone? 
they then started to tell her that they get that excuse all the time and that she could not get a table until her friend arrived. 

As she asked for the manager, her friend arrived at the same time. She explained to the manager that she's been waiting with her cane, hasn't been given a table and that people after her had been seated even if they were waiting for others. She felt demeaned and didn't appreciate the service and that she would be taking business somewhere else. Instead of the manager making some arrangement to ease the situation she told my mother that she can leave now. 

I have never in my life had my mother call me and cry on the phone of how humiliated and embarrassed she felt. 

Absolutely disgusting.",2016/12/20,Toronto,-79.3462868,43.6597952,"['Breakfast & Brunch', 'French', 'Restaurants']"
4,Dilly's Deli,"We grabbed some dinner here last night before catching a show at Gammage. 

We were the ONLY people in this place, yet the staff acted like they were slammed, very short with us and it took quite some time for our order to come out.

The food was good, though the bread bowls that the soup came in tasted like they were a few days old, very dry and crumbly vs the normal super fresh tasting bread bowls you get here.",2010/9/28,Tempe,-111.9453653,33.4221754,"['Caterers', 'Sandwiches', 'Event Planning & Services', 'Delis', 'Burgers', 'Restaurants']"
5,Angry Crab Shack,"Great place. Came in for lunch, Brodey, Ashley, and one other female server (We didn't catch her name) helped us out. Service was great! Very friendly, and inviting, and they were more than accommodating for us and our toddler. Food was delicious, love the sauce! I got the trifecta level 2, so good, nice and spicy! Very messy, but worth it. 
We will be definitely back... With gloves and a raincoat. :)",2016/4/7,Peoria,-112.2228886,33.596701,"['Seafood', 'American (Traditional)', 'Cajun/Creole', 'Restaurants']"
1,The Good Egg,"Me and wife have been going to the good egg since 2010, and this good egg since it opened.  This use to be our favorite place, close to home, gym and good food.  However, they have really gotten worse and worse for the past few months.  The service is hit and miss, the wait staff his also hit and miss.  We went on sunday march 6 and had to wait for food for over 30 minutes, food was cold and did not taste as good as usual, and the service was the worse.  We plan on going to biscuits or haymakers from now on.  Or Cracker Barrel, they are at least consistent",2016/3/8,Glendale,-112.1401263,33.7142832,"['Restaurants', 'Breakfast & Brunch']"
4,Blueberry Hill Family Restaurant,"Huge menu selection. The restaurant looks great - the remodel served them well. It's super clean. 
My parents enjoyed their liver and onions and roast beef sandwhich. I ordered a grilled cheese that came out a little cold, while my fries were piping hot. 
Service was good. Will return soon!",2015/10/15,Las Vegas,-115.207537,36.114985,"['Nightlife', 'Breakfast & Brunch', 'American (New)', 'Food', 'American (Traditional)', 'Bars', 'Bakeries', 'Restaurants', 'Salad', 'Desserts']"
3,Zoozacrackers Deli,"What do you do if it's getting close to midnight and you still haven't had dinner because you've been sipping on margaritas in the lounge instead? One option is to head here for a quick nosh. I got the pastrami on rye (I felt the need to add the ""on rye"" when I ordered because I wasn't sure, being this is Vegas, if they might try to serve it on Wonder Bread), and while it's certainly not the best deli I had had, it will do in a pinch.

Get a table next to the wall if you want to people watch while you fress.",2010/11/1,Las Vegas,-115.1653652,36.1265953,"['Delis', 'Restaurants', 'Sandwiches', 'Burgers']"
3,Anjappar Chettinad Restaurants,"I saw this restaurant on a whim when I was looking for a good indian food place to try and decided that this was the one. We opted for delivery because why not.

I usually judge the place based on my all time favourite Butter chicken and when I got it for sure this place has it down! It surpassed the other ones I tried and for sure this is where am getting it from now on.

Aside from that dish, we also got the chicken tikka masala and the garlic naan bread. The masala was alright, I tasted a better one elsewhere so this one wasn't really my favourite from them. And the garlic naan was yummy. Really generous with the garlic for sure. 

And I also got a Mango lassi, I didnt like their version that much so I think I'll skip on this one next time.

Anyway, I have yet to try their other dishes in the future so for now am just giving them three stars. And also the other reason for the rating was because our food arrived late. Am glad I waited a little bit more because I was close to complaining. But other than that, food is decent and I would order from them again.",2016/5/17,Mississauga,-79.6419661,43.5995957,"['Indian', 'Buffets', 'Halal', 'Restaurants']"
